ID,Song A,Song B,Votes A,Votes B,Total,Margin,Winner,,acire,andy,arti,azu,barrel,bebr,bitto,cako,chaeix,chaos,collen,dank,dans,dem,deo,dire,dis,dowolf,drj133,eggert,ema,fiop,fl81,gall,golden,haste,hb,hbj,horita,hotdog,hunt,isquen,janus,jona,jungle,junk,kama,kcf,kecleon,kotetsu,lefty,lem,lies,mac,max,mega,mihark,mist,moonr,neko,nfun,orange,p0,para,place,plas,pony,prince,prod,prody,pyre,rev,rwlh,sceptile,sergio,shark,skull,sly,snake,sniff,suprak,taffer,tazzy,tgs,tked,tre,tsunami,tunnel,turus,uf8,w1ndzs,wave,xx521,zel
71,Bulletin Combat,Grown-up's Paradise,32,24,56,8,Bulletin Combat,,Grown-up's Paradise,Grown-up's Paradise,Grown-up's Paradise,Bulletin Combat,,,,Bulletin Combat,,Bulletin Combat,Bulletin Combat,Bulletin Combat,Grown-up's Paradise,,Bulletin Combat,Bulletin Combat,Grown-up's Paradise,,Bulletin Combat,,Bulletin Combat,,Grown-up's Paradise,Grown-up's Paradise,,,Grown-up's Paradise,Bulletin Combat,Bulletin Combat,Bulletin Combat,Bulletin Combat,Bulletin Combat,Grown-up's Paradise,Bulletin Combat,,,Grown-up's Paradise,Bulletin Combat,,,Bulletin Combat,Grown-up's Paradise,,Grown-up's Paradise,Grown-up's Paradise,Bulletin Combat,,,,Grown-up's Paradise,Bulletin Combat,Grown-up's Paradise,Grown-up's Paradise,Bulletin Combat,Bulletin Combat,Grown-up's Paradise,Bulletin Combat,Bulletin Combat,Bulletin Combat,,Bulletin Combat,,Bulletin Combat,,Bulletin Combat,,Bulletin Combat,Grown-up's Paradise,,,,Bulletin Combat,Bulletin Combat,Grown-up's Paradise,Bulletin Combat,Grown-up's Paradise,,Bulletin Combat,Grown-up's Paradise,,Grown-up's Paradise,Grown-up's Paradise,Grown-up's Paradise,
72,Dragon Valley,Dear My Friend,42,15,57,27,Dragon Valley,,Dragon Valley,Dragon Valley,Dragon Valley,Dragon Valley,,,,Dear My Friend,,Dear My Friend,Dragon Valley,Dragon Valley,Dear My Friend,,Dragon Valley,Dragon Valley,Dragon Valley,,Dear My Friend,Dragon Valley,Dear My Friend,,Dragon Valley,Dragon Valley,,,Dragon Valley,Dragon Valley,Dear My Friend,Dragon Valley,Dragon Valley,Dragon Valley,Dragon Valley,Dragon Valley,,,Dear My Friend,Dragon Valley,,,Dragon Valley,Dear My Friend,,Dragon Valley,Dear My Friend,Dragon Valley,,,,Dragon Valley,Dragon Valley,Dear My Friend,Dragon Valley,Dragon Valley,Dear My Friend,Dragon Valley,Dragon Valley,Dragon Valley,Dragon Valley,,Dear My Friend,,Dragon Valley,,Dragon Valley,,Dragon Valley,Dear My Friend,,,,,Dragon Valley,Dragon Valley,Dragon Valley,Dear My Friend,,Dragon Valley,Dragon Valley,Dragon Valley,Dear My Friend,Dragon Valley,Dragon Valley,
73,BLOW my GALE,Balearic Birds,24,34,58,10,Balearic Birds,,BLOW my GALE,Balearic Birds,BLOW my GALE,BLOW my GALE,,,,BLOW my GALE,,Balearic Birds,Balearic Birds,BLOW my GALE,Balearic Birds,,Balearic Birds,Balearic Birds,Balearic Birds,BLOW my GALE,Balearic Birds,BLOW my GALE,Balearic Birds,,BLOW my GALE,BLOW my GALE,,,Balearic Birds,BLOW my GALE,Balearic Birds,Balearic Birds,BLOW my GALE,Balearic Birds,BLOW my GALE,Balearic Birds,,,Balearic Birds,Balearic Birds,,,BLOW my GALE,BLOW my GALE,Balearic Birds,BLOW my GALE,Balearic Birds,Balearic Birds,,,,Balearic Birds,Balearic Birds,BLOW my GALE,BLOW my GALE,Balearic Birds,,BLOW my GALE,BLOW my GALE,Balearic Birds,Balearic Birds,,Balearic Birds,,Balearic Birds,,Balearic Birds,,Balearic Birds,Balearic Birds,,,,,Balearic Birds,BLOW my GALE,Balearic Birds,BLOW my GALE,,BLOW my GALE,Balearic Birds,Balearic Birds,BLOW my GALE,Balearic Birds,BLOW my GALE,
74,Gravity Man,Supermoon,26,33,59,7,Supermoon,,Supermoon,Supermoon,Supermoon,Supermoon,,,,,,Supermoon,Gravity Man,Gravity Man,Supermoon,,Gravity Man,Supermoon,Gravity Man,Supermoon,Supermoon,Supermoon,Gravity Man,,Gravity Man,Supermoon,,Gravity Man,Supermoon,Supermoon,Gravity Man,Gravity Man,Supermoon,Gravity Man,Gravity Man,Gravity Man,,,Supermoon,Supermoon,,,Gravity Man,Supermoon,Gravity Man,Supermoon,Supermoon,Gravity Man,,,,Supermoon,Supermoon,Supermoon,Supermoon,Gravity Man,,Supermoon,Gravity Man,Gravity Man,Supermoon,,Supermoon,,Gravity Man,,Gravity Man,,Supermoon,Gravity Man,,,,Supermoon,Supermoon,Gravity Man,Supermoon,Gravity Man,,Gravity Man,Supermoon,Gravity Man,Supermoon,Supermoon,Gravity Man,
75,Barcelona,EXEC_ViiBaCi_MjiiRa/.,27,29,56,2,EXEC_ViiBaCi_MjiiRa/.,,Barcelona,Barcelona,EXEC_ViiBaCi_MjiiRa/.,Barcelona,,,,,,Barcelona,Barcelona,Barcelona,,,Barcelona,Barcelona,Barcelona,EXEC_ViiBaCi_MjiiRa/.,EXEC_ViiBaCi_MjiiRa/.,,Barcelona,,EXEC_ViiBaCi_MjiiRa/.,EXEC_ViiBaCi_MjiiRa/.,,EXEC_ViiBaCi_MjiiRa/.,EXEC_ViiBaCi_MjiiRa/.,Barcelona,EXEC_ViiBaCi_MjiiRa/.,Barcelona,EXEC_ViiBaCi_MjiiRa/.,EXEC_ViiBaCi_MjiiRa/.,EXEC_ViiBaCi_MjiiRa/.,EXEC_ViiBaCi_MjiiRa/.,,,EXEC_ViiBaCi_MjiiRa/.,Barcelona,,,EXEC_ViiBaCi_MjiiRa/.,EXEC_ViiBaCi_MjiiRa/.,EXEC_ViiBaCi_MjiiRa/.,EXEC_ViiBaCi_MjiiRa/.,Barcelona,Barcelona,,,,EXEC_ViiBaCi_MjiiRa/.,EXEC_ViiBaCi_MjiiRa/.,Barcelona,EXEC_ViiBaCi_MjiiRa/.,EXEC_ViiBaCi_MjiiRa/.,,Barcelona,Barcelona,EXEC_ViiBaCi_MjiiRa/.,Barcelona,,EXEC_ViiBaCi_MjiiRa/.,,EXEC_ViiBaCi_MjiiRa/.,,EXEC_ViiBaCi_MjiiRa/.,,EXEC_ViiBaCi_MjiiRa/.,Barcelona,,,,Barcelona,Barcelona,Barcelona,Barcelona,EXEC_ViiBaCi_MjiiRa/.,,Barcelona,Barcelona,,EXEC_ViiBaCi_MjiiRa/.,Barcelona,EXEC_ViiBaCi_MjiiRa/.,
76,Caves of Mul,Suna no Shiro -The Castle of Sand-,28,30,58,2,Suna no Shiro -The Castle of Sand-,,Caves of Mul,Caves of Mul,Suna no Shiro -The Castle of Sand-,Caves of Mul,,Suna no Shiro -The Castle of Sand-,,Caves of Mul,,Caves of Mul,Caves of Mul,Suna no Shiro -The Castle of Sand-,Caves of Mul,,Suna no Shiro -The Castle of Sand-,Suna no Shiro -The Castle of Sand-,Suna no Shiro -The Castle of Sand-,Suna no Shiro -The Castle of Sand-,Suna no Shiro -The Castle of Sand-,Caves of Mul,Suna no Shiro -The Castle of Sand-,,Suna no Shiro -The Castle of Sand-,Suna no Shiro -The Castle of Sand-,,,Caves of Mul,Caves of Mul,Caves of Mul,Caves of Mul,Caves of Mul,Suna no Shiro -The Castle of Sand-,Suna no Shiro -The Castle of Sand-,Caves of Mul,,,Suna no Shiro -The Castle of Sand-,Caves of Mul,,,Suna no Shiro -The Castle of Sand-,Suna no Shiro -The Castle of Sand-,,Suna no Shiro -The Castle of Sand-,Caves of Mul,Suna no Shiro -The Castle of Sand-,,,,,Suna no Shiro -The Castle of Sand-,Suna no Shiro -The Castle of Sand-,Caves of Mul,Caves of Mul,Caves of Mul,,Caves of Mul,Suna no Shiro -The Castle of Sand-,Suna no Shiro -The Castle of Sand-,,Caves of Mul,,Suna no Shiro -The Castle of Sand-,,Suna no Shiro -The Castle of Sand-,,Caves of Mul,Suna no Shiro -The Castle of Sand-,,,,Caves of Mul,Caves of Mul,Suna no Shiro -The Castle of Sand-,Caves of Mul,Suna no Shiro -The Castle of Sand-,,Caves of Mul,Caves of Mul,Suna no Shiro -The Castle of Sand-,Caves of Mul,Suna no Shiro -The Castle of Sand-,Suna no Shiro -The Castle of Sand-,
77,I Don't Understand Your Feelings,You Will Know Our Names,24,33,57,9,You Will Know Our Names,,You Will Know Our Names,You Will Know Our Names,You Will Know Our Names,You Will Know Our Names,,,,I Don't Understand Your Feelings,,You Will Know Our Names,I Don't Understand Your Feelings,You Will Know Our Names,,You Will Know Our Names,I Don't Understand Your Feelings,You Will Know Our Names,I Don't Understand Your Feelings,You Will Know Our Names,You Will Know Our Names,You Will Know Our Names,I Don't Understand Your Feelings,,I Don't Understand Your Feelings,You Will Know Our Names,,,You Will Know Our Names,You Will Know Our Names,I Don't Understand Your Feelings,I Don't Understand Your Feelings,You Will Know Our Names,You Will Know Our Names,I Don't Understand Your Feelings,I Don't Understand Your Feelings,,,You Will Know Our Names,I Don't Understand Your Feelings,,,You Will Know Our Names,You Will Know Our Names,,You Will Know Our Names,You Will Know Our Names,You Will Know Our Names,,,,,I Don't Understand Your Feelings,I Don't Understand Your Feelings,You Will Know Our Names,I Don't Understand Your Feelings,I Don't Understand Your Feelings,,I Don't Understand Your Feelings,I Don't Understand Your Feelings,I Don't Understand Your Feelings,,You Will Know Our Names,,You Will Know Our Names,,I Don't Understand Your Feelings,,I Don't Understand Your Feelings,You Will Know Our Names,,,,You Will Know Our Names,You Will Know Our Names,I Don't Understand Your Feelings,I Don't Understand Your Feelings,You Will Know Our Names,,I Don't Understand Your Feelings,You Will Know Our Names,I Don't Understand Your Feelings,You Will Know Our Names,You Will Know Our Names,You Will Know Our Names,
78,A Hopeful Astraea,Release The Seal,28,25,53,3,A Hopeful Astraea,,Release The Seal,A Hopeful Astraea,Release The Seal,Release The Seal,,A Hopeful Astraea,,A Hopeful Astraea,,Release The Seal,Release The Seal,Release The Seal,,,A Hopeful Astraea,Release The Seal,A Hopeful Astraea,Release The Seal,Release The Seal,A Hopeful Astraea,A Hopeful Astraea,,Release The Seal,Release The Seal,,,Release The Seal,Release The Seal,Release The Seal,Release The Seal,Release The Seal,A Hopeful Astraea,Release The Seal,A Hopeful Astraea,,,A Hopeful Astraea,A Hopeful Astraea,,,Release The Seal,Release The Seal,,Release The Seal,A Hopeful Astraea,,,,,,,Release The Seal,A Hopeful Astraea,A Hopeful Astraea,A Hopeful Astraea,,A Hopeful Astraea,A Hopeful Astraea,A Hopeful Astraea,,Release The Seal,,Release The Seal,,A Hopeful Astraea,,A Hopeful Astraea,A Hopeful Astraea,,,,Release The Seal,A Hopeful Astraea,A Hopeful Astraea,,A Hopeful Astraea,,A Hopeful Astraea,A Hopeful Astraea,A Hopeful Astraea,Release The Seal,,A Hopeful Astraea,
79,No Turning Back,Level 4,38,17,55,21,No Turning Back,,No Turning Back,Level 4,No Turning Back,No Turning Back,,,,Level 4,,No Turning Back,No Turning Back,Level 4,No Turning Back,,Level 4,Level 4,No Turning Back,Level 4,Level 4,No Turning Back,No Turning Back,,Level 4,No Turning Back,,No Turning Back,Level 4,No Turning Back,No Turning Back,Level 4,No Turning Back,No Turning Back,No Turning Back,No Turning Back,,,No Turning Back,Level 4,,,No Turning Back,No Turning Back,,No Turning Back,No Turning Back,,,,,,No Turning Back,,No Turning Back,No Turning Back,,No Turning Back,No Turning Back,Level 4,Level 4,,Level 4,,No Turning Back,,No Turning Back,,No Turning Back,Level 4,,,,Level 4,,No Turning Back,Level 4,No Turning Back,,No Turning Back,No Turning Back,No Turning Back,No Turning Back,No Turning Back,No Turning Back,
80,Dearly Beloved,Quatera Woods,24,31,55,7,Quatera Woods,,Quatera Woods,Dearly Beloved,Quatera Woods,Dearly Beloved,,,,Quatera Woods,,Dearly Beloved,Dearly Beloved,Quatera Woods,Quatera Woods,,Quatera Woods,Dearly Beloved,Dearly Beloved,Dearly Beloved,Dearly Beloved,Dearly Beloved,Quatera Woods,,Quatera Woods,Dearly Beloved,,Quatera Woods,Quatera Woods,Quatera Woods,Quatera Woods,Quatera Woods,Dearly Beloved,Dearly Beloved,Quatera Woods,Quatera Woods,,,Quatera Woods,Quatera Woods,,,Quatera Woods,Quatera Woods,,Quatera Woods,Dearly Beloved,,,,,,Quatera Woods,,Dearly Beloved,Quatera Woods,,Dearly Beloved,Quatera Woods,Dearly Beloved,Dearly Beloved,,Dearly Beloved,,Quatera Woods,,Dearly Beloved,,Dearly Beloved,Dearly Beloved,,,,Dearly Beloved,,Quatera Woods,Quatera Woods,Quatera Woods,,Quatera Woods,Quatera Woods,Dearly Beloved,Quatera Woods,Dearly Beloved,Quatera Woods,
81,Prontera Field,Hook,37,15,52,22,Prontera Field,,Prontera Field,Prontera Field,Prontera Field,Prontera Field,,,,Hook,,Prontera Field,Hook,Prontera Field,Prontera Field,,Prontera Field,Prontera Field,Prontera Field,Hook,Prontera Field,Prontera Field,Hook,,Prontera Field,Prontera Field,,Prontera Field,Prontera Field,Prontera Field,Hook,Hook,Prontera Field,Prontera Field,Hook,Hook,,,Prontera Field,Prontera Field,,,Prontera Field,Prontera Field,,Prontera Field,Prontera Field,,,,,,,,Prontera Field,Hook,,Prontera Field,Hook,,Prontera Field,,,,Prontera Field,,Hook,,Hook,Prontera Field,,,,Prontera Field,,Prontera Field,Hook,Prontera Field,,Hook,Prontera Field,Hook,Prontera Field,Prontera Field,Prontera Field,
82,"Try, Try Again",Challenge,26,29,55,3,Challenge,,"Try, Try Again","Try, Try Again","Try, Try Again",Challenge,,,,Challenge,,Challenge,Challenge,"Try, Try Again","Try, Try Again",,Challenge,"Try, Try Again","Try, Try Again","Try, Try Again",,,Challenge,,"Try, Try Again","Try, Try Again",,Challenge,"Try, Try Again",Challenge,Challenge,Challenge,"Try, Try Again",Challenge,"Try, Try Again",Challenge,,,"Try, Try Again","Try, Try Again",,,"Try, Try Again",Challenge,,Challenge,Challenge,,,,,,Challenge,,Challenge,"Try, Try Again",Challenge,"Try, Try Again",Challenge,"Try, Try Again",Challenge,"Try, Try Again","Try, Try Again",,Challenge,,Challenge,,Challenge,"Try, Try Again",,,,"Try, Try Again",,Challenge,Challenge,Challenge,,Challenge,Challenge,Challenge,"Try, Try Again","Try, Try Again","Try, Try Again",
83,Cold Metal,The Merciless Savior,10,46,56,36,The Merciless Savior,,Cold Metal,Cold Metal,The Merciless Savior,The Merciless Savior,,,,The Merciless Savior,,Cold Metal,The Merciless Savior,The Merciless Savior,The Merciless Savior,,The Merciless Savior,The Merciless Savior,The Merciless Savior,The Merciless Savior,,The Merciless Savior,The Merciless Savior,,The Merciless Savior,Cold Metal,,The Merciless Savior,The Merciless Savior,The Merciless Savior,The Merciless Savior,The Merciless Savior,The Merciless Savior,The Merciless Savior,The Merciless Savior,The Merciless Savior,,,The Merciless Savior,The Merciless Savior,,,The Merciless Savior,The Merciless Savior,,The Merciless Savior,Cold Metal,,,,,,The Merciless Savior,,The Merciless Savior,Cold Metal,The Merciless Savior,Cold Metal,Cold Metal,The Merciless Savior,The Merciless Savior,The Merciless Savior,The Merciless Savior,,The Merciless Savior,,The Merciless Savior,,The Merciless Savior,The Merciless Savior,,,,Cold Metal,,The Merciless Savior,The Merciless Savior,The Merciless Savior,,The Merciless Savior,The Merciless Savior,The Merciless Savior,Cold Metal,The Merciless Savior,The Merciless Savior,
84,Two of Braves,Megalomaniac,32,21,53,11,Two of Braves,,Two of Braves,Two of Braves,Two of Braves,Megalomaniac,,Two of Braves,,Megalomaniac,,Two of Braves,Megalomaniac,Two of Braves,Two of Braves,,Megalomaniac,Two of Braves,Two of Braves,Two of Braves,,Megalomaniac,Two of Braves,,Two of Braves,Two of Braves,,,Two of Braves,Two of Braves,Megalomaniac,Megalomaniac,Two of Braves,Two of Braves,Megalomaniac,,,,Megalomaniac,Megalomaniac,,,Two of Braves,Two of Braves,,Megalomaniac,Megalomaniac,,,,,,Two of Braves,,Two of Braves,Two of Braves,Megalomaniac,Two of Braves,Two of Braves,Two of Braves,Two of Braves,Megalomaniac,Two of Braves,,Two of Braves,,Megalomaniac,,Two of Braves,Megalomaniac,,,,Megalomaniac,,Two of Braves,Megalomaniac,Megalomaniac,,Megalomaniac,Two of Braves,Megalomaniac,,,Two of Braves,
85,Menu,The Fox's Lair,10,44,54,34,The Fox's Lair,,The Fox's Lair,The Fox's Lair,The Fox's Lair,The Fox's Lair,,The Fox's Lair,,Menu,,The Fox's Lair,The Fox's Lair,The Fox's Lair,The Fox's Lair,,The Fox's Lair,The Fox's Lair,The Fox's Lair,The Fox's Lair,,The Fox's Lair,The Fox's Lair,,The Fox's Lair,The Fox's Lair,,,The Fox's Lair,The Fox's Lair,Menu,Menu,The Fox's Lair,The Fox's Lair,The Fox's Lair,,,,The Fox's Lair,The Fox's Lair,,,The Fox's Lair,The Fox's Lair,,The Fox's Lair,The Fox's Lair,,,,,,The Fox's Lair,,The Fox's Lair,Menu,Menu,The Fox's Lair,The Fox's Lair,Menu,The Fox's Lair,The Fox's Lair,The Fox's Lair,,Menu,,The Fox's Lair,,Menu,The Fox's Lair,,,,Menu,,The Fox's Lair,The Fox's Lair,The Fox's Lair,,Menu,The Fox's Lair,The Fox's Lair,,The Fox's Lair,The Fox's Lair,
86,Blissade/Egregori,The Phantom World,22,29,51,7,The Phantom World,,The Phantom World,The Phantom World,Blissade/Egregori,Blissade/Egregori,,The Phantom World,,The Phantom World,,The Phantom World,The Phantom World,The Phantom World,The Phantom World,,Blissade/Egregori,Blissade/Egregori,The Phantom World,Blissade/Egregori,,The Phantom World,The Phantom World,,Blissade/Egregori,Blissade/Egregori,,,Blissade/Egregori,Blissade/Egregori,The Phantom World,Blissade/Egregori,The Phantom World,Blissade/Egregori,Blissade/Egregori,,,,Blissade/Egregori,The Phantom World,,,Blissade/Egregori,Blissade/Egregori,,The Phantom World,The Phantom World,,,,,,The Phantom World,,Blissade/Egregori,The Phantom World,The Phantom World,Blissade/Egregori,The Phantom World,The Phantom World,The Phantom World,,Blissade/Egregori,,Blissade/Egregori,,The Phantom World,,The Phantom World,Blissade/Egregori,,,,,,The Phantom World,The Phantom World,Blissade/Egregori,,The Phantom World,Blissade/Egregori,The Phantom World,,,The Phantom World,
87,Snowfield,Sword of the Surviving Guardian,31,25,56,6,Snowfield,,Sword of the Surviving Guardian,Sword of the Surviving Guardian,Sword of the Surviving Guardian,Sword of the Surviving Guardian,,Sword of the Surviving Guardian,,Snowfield,,Snowfield,Snowfield,Sword of the Surviving Guardian,Sword of the Surviving Guardian,,Snowfield,Sword of the Surviving Guardian,Snowfield,Snowfield,Snowfield,Sword of the Surviving Guardian,Snowfield,,Snowfield,Snowfield,,,Sword of the Surviving Guardian,Snowfield,Snowfield,Sword of the Surviving Guardian,Snowfield,Snowfield,Sword of the Surviving Guardian,Snowfield,,,Snowfield,Sword of the Surviving Guardian,,,Sword of the Surviving Guardian,Snowfield,,Sword of the Surviving Guardian,Snowfield,Sword of the Surviving Guardian,,,,,Snowfield,Snowfield,Snowfield,Sword of the Surviving Guardian,Snowfield,Sword of the Surviving Guardian,Snowfield,Sword of the Surviving Guardian,Snowfield,,Sword of the Surviving Guardian,,Sword of the Surviving Guardian,,Snowfield,,Snowfield,Sword of the Surviving Guardian,,,,,,Sword of the Surviving Guardian,Snowfield,Snowfield,,Snowfield,Sword of the Surviving Guardian,Snowfield,Sword of the Surviving Guardian,,Snowfield,
88,Rage Rave,Metallic Madness Zone Act 2,23,34,57,11,Metallic Madness Zone Act 2,,Metallic Madness Zone Act 2,Metallic Madness Zone Act 2,Metallic Madness Zone Act 2,Metallic Madness Zone Act 2,,Metallic Madness Zone Act 2,,Rage Rave,,Rage Rave,Rage Rave,Metallic Madness Zone Act 2,Rage Rave,,Metallic Madness Zone Act 2,Rage Rave,Metallic Madness Zone Act 2,Metallic Madness Zone Act 2,Metallic Madness Zone Act 2,Metallic Madness Zone Act 2,Metallic Madness Zone Act 2,,Rage Rave,Rage Rave,,Metallic Madness Zone Act 2,Metallic Madness Zone Act 2,Rage Rave,Rage Rave,Rage Rave,Metallic Madness Zone Act 2,Metallic Madness Zone Act 2,Rage Rave,Rage Rave,,,Metallic Madness Zone Act 2,Metallic Madness Zone Act 2,,,Rage Rave,Metallic Madness Zone Act 2,,Metallic Madness Zone Act 2,Rage Rave,Metallic Madness Zone Act 2,,,,,,Rage Rave,Rage Rave,Rage Rave,Metallic Madness Zone Act 2,Metallic Madness Zone Act 2,Rage Rave,Metallic Madness Zone Act 2,Metallic Madness Zone Act 2,,Metallic Madness Zone Act 2,,Metallic Madness Zone Act 2,,Metallic Madness Zone Act 2,,Metallic Madness Zone Act 2,Metallic Madness Zone Act 2,,,,,,Rage Rave,Rage Rave,Metallic Madness Zone Act 2,,Rage Rave,Rage Rave,Metallic Madness Zone Act 2,Metallic Madness Zone Act 2,Metallic Madness Zone Act 2,Rage Rave,
89,EXEC_FLIP_ARPHAGE/.,Pledge of Demon,34,24,58,10,EXEC_FLIP_ARPHAGE/.,,Pledge of Demon,EXEC_FLIP_ARPHAGE/.,Pledge of Demon,Pledge of Demon,,Pledge of Demon,,EXEC_FLIP_ARPHAGE/.,,Pledge of Demon,Pledge of Demon,Pledge of Demon,EXEC_FLIP_ARPHAGE/.,,EXEC_FLIP_ARPHAGE/.,Pledge of Demon,Pledge of Demon,EXEC_FLIP_ARPHAGE/.,EXEC_FLIP_ARPHAGE/.,Pledge of Demon,EXEC_FLIP_ARPHAGE/.,,EXEC_FLIP_ARPHAGE/.,EXEC_FLIP_ARPHAGE/.,,EXEC_FLIP_ARPHAGE/.,Pledge of Demon,Pledge of Demon,EXEC_FLIP_ARPHAGE/.,Pledge of Demon,Pledge of Demon,EXEC_FLIP_ARPHAGE/.,EXEC_FLIP_ARPHAGE/.,EXEC_FLIP_ARPHAGE/.,,,EXEC_FLIP_ARPHAGE/.,EXEC_FLIP_ARPHAGE/.,,,EXEC_FLIP_ARPHAGE/.,EXEC_FLIP_ARPHAGE/.,,EXEC_FLIP_ARPHAGE/.,Pledge of Demon,EXEC_FLIP_ARPHAGE/.,,,,,,EXEC_FLIP_ARPHAGE/.,Pledge of Demon,Pledge of Demon,EXEC_FLIP_ARPHAGE/.,EXEC_FLIP_ARPHAGE/.,EXEC_FLIP_ARPHAGE/.,Pledge of Demon,EXEC_FLIP_ARPHAGE/.,Pledge of Demon,EXEC_FLIP_ARPHAGE/.,,Pledge of Demon,,EXEC_FLIP_ARPHAGE/.,,EXEC_FLIP_ARPHAGE/.,Pledge of Demon,,,,,,EXEC_FLIP_ARPHAGE/.,Pledge of Demon,EXEC_FLIP_ARPHAGE/.,,EXEC_FLIP_ARPHAGE/.,EXEC_FLIP_ARPHAGE/.,EXEC_FLIP_ARPHAGE/.,Pledge of Demon,EXEC_FLIP_ARPHAGE/.,Pledge of Demon,
90,Sax of Opportunity,envidia,14,38,52,24,envidia,,Sax of Opportunity,envidia,Sax of Opportunity,envidia,,,,,,envidia,envidia,Sax of Opportunity,envidia,,Sax of Opportunity,envidia,Sax of Opportunity,envidia,envidia,envidia,envidia,,envidia,envidia,,,Sax of Opportunity,Sax of Opportunity,envidia,envidia,Sax of Opportunity,envidia,envidia,envidia,,,envidia,envidia,,,envidia,Sax of Opportunity,,envidia,envidia,envidia,,,,,envidia,Sax of Opportunity,envidia,Sax of Opportunity,,,Sax of Opportunity,envidia,envidia,envidia,envidia,,envidia,,Sax of Opportunity,,envidia,envidia,,,,,,,envidia,Sax of Opportunity,,envidia,envidia,envidia,envidia,,envidia,
91,Deep Blue,The Blue Sanctuary,18,34,52,16,The Blue Sanctuary,,The Blue Sanctuary,Deep Blue,Deep Blue,Deep Blue,,,,,,Deep Blue,The Blue Sanctuary,,Deep Blue,,The Blue Sanctuary,The Blue Sanctuary,The Blue Sanctuary,The Blue Sanctuary,The Blue Sanctuary,The Blue Sanctuary,Deep Blue,,The Blue Sanctuary,The Blue Sanctuary,,The Blue Sanctuary,The Blue Sanctuary,The Blue Sanctuary,The Blue Sanctuary,The Blue Sanctuary,The Blue Sanctuary,Deep Blue,The Blue Sanctuary,The Blue Sanctuary,,,The Blue Sanctuary,Deep Blue,,,Deep Blue,The Blue Sanctuary,,The Blue Sanctuary,The Blue Sanctuary,Deep Blue,,,,,The Blue Sanctuary,The Blue Sanctuary,The Blue Sanctuary,Deep Blue,,,Deep Blue,The Blue Sanctuary,Deep Blue,The Blue Sanctuary,,,Deep Blue,,The Blue Sanctuary,,The Blue Sanctuary,Deep Blue,,,,,,Deep Blue,,Deep Blue,,The Blue Sanctuary,The Blue Sanctuary,The Blue Sanctuary,The Blue Sanctuary,The Blue Sanctuary,Deep Blue,
92,"Guilt, Duty, and...",Predestined Fate,13,41,54,28,Predestined Fate,,Predestined Fate,Predestined Fate,Predestined Fate,Predestined Fate,,,,,,Predestined Fate,Predestined Fate,"Guilt, Duty, and...",Predestined Fate,,Predestined Fate,Predestined Fate,Predestined Fate,Predestined Fate,Predestined Fate,"Guilt, Duty, and...",Predestined Fate,,Predestined Fate,"Guilt, Duty, and...",,Predestined Fate,"Guilt, Duty, and...","Guilt, Duty, and...",Predestined Fate,Predestined Fate,Predestined Fate,Predestined Fate,Predestined Fate,Predestined Fate,,,"Guilt, Duty, and...",Predestined Fate,,,Predestined Fate,"Guilt, Duty, and...",,Predestined Fate,Predestined Fate,Predestined Fate,,,,,Predestined Fate,Predestined Fate,Predestined Fate,"Guilt, Duty, and...",,,Predestined Fate,"Guilt, Duty, and...",Predestined Fate,Predestined Fate,Predestined Fate,,Predestined Fate,,Predestined Fate,,Predestined Fate,"Guilt, Duty, and...",,,,,,Predestined Fate,Predestined Fate,Predestined Fate,,Predestined Fate,"Guilt, Duty, and...","Guilt, Duty, and...","Guilt, Duty, and...",,Predestined Fate,
