ID,Song A,Song B,Votes A,Votes B,Total,Margin,Winner,,acire,afrono,andy,arti,az,bane,barrel,bebr,bitto,boss,cako,chaeix,chaos,collen,dan,dem,deo,dire,dis,dowolf,drj133,ema,fl81,gall,gin,haste,hb,hbj,horita,hotdog,hunj,hunt,isquen,janus,jona,jungle,kama,kcf,kecleon,kong,korji,lasa,lefty,lem,lilly,mac,maple,mark,max,mega,mihark,monkey,neko,nfun,ogura,p0,para,place,plas,pony,prince,prod,prody,pyre,rwlh,sea,sergio,skull,sly,taff,tazzy,tgs,tked,tre,tunnel,turus,uf8,ulti,wave,xuxon,xx521,zel,zts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Main Theme,"The Summer is Night ""7/8""",18,41,59,23,"The Summer is Night ""7/8""",,"The Summer is Night ""7/8""","The Summer is Night ""7/8""","The Summer is Night ""7/8""",Main Theme,"The Summer is Night ""7/8""",,,"The Summer is Night ""7/8""",,,"The Summer is Night ""7/8""",,Main Theme,Main Theme,"The Summer is Night ""7/8""",,"The Summer is Night ""7/8""",Main Theme,"The Summer is Night ""7/8""","The Summer is Night ""7/8""",,Main Theme,"The Summer is Night ""7/8""","The Summer is Night ""7/8""",,"The Summer is Night ""7/8""","The Summer is Night ""7/8""","The Summer is Night ""7/8""","The Summer is Night ""7/8""","The Summer is Night ""7/8""",,"The Summer is Night ""7/8""","The Summer is Night ""7/8""","The Summer is Night ""7/8""",Main Theme,,"The Summer is Night ""7/8""",Main Theme,"The Summer is Night ""7/8""",,Main Theme,"The Summer is Night ""7/8""","The Summer is Night ""7/8""","The Summer is Night ""7/8""",,"The Summer is Night ""7/8""","The Summer is Night ""7/8""",,Main Theme,Main Theme,Main Theme,,,"The Summer is Night ""7/8""",,,"The Summer is Night ""7/8""",,"The Summer is Night ""7/8""","The Summer is Night ""7/8""","The Summer is Night ""7/8""","The Summer is Night ""7/8""",,"The Summer is Night ""7/8""",Main Theme,,Main Theme,Main Theme,Main Theme,,"The Summer is Night ""7/8""",,Main Theme,"The Summer is Night ""7/8""",Main Theme,"The Summer is Night ""7/8""","The Summer is Night ""7/8""",,"The Summer is Night ""7/8""",Main Theme,"The Summer is Night ""7/8""","The Summer is Night ""7/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Nine Sols,Battle! (Champion),35,26,61,9,Nine Sols,,Nine Sols,Nine Sols,Nine Sols,,Battle! (Champion),,,Nine Sols,Nine Sols,,Battle! (Champion),Nine Sols,Nine Sols,Battle! (Champion),Battle! (Champion),,Battle! (Champion),Battle! (Champion),Battle! (Champion),Nine Sols,Nine Sols,Nine Sols,Battle! (Champion),Battle! (Champion),,Battle! (Champion),Battle! (Champion),Nine Sols,Nine Sols,Nine Sols,,Battle! (Champion),Battle! (Champion),Nine Sols,Nine Sols,,Nine Sols,Battle! (Champion),,,Nine Sols,Battle! (Champion),Nine Sols,Nine Sols,,Battle! (Champion),Nine Sols,Battle! (Champion),Nine Sols,Battle! (Champion),Battle! (Champion),,,Battle! (Champion),,,Nine Sols,,Nine Sols,Nine Sols,Nine Sols,Nine Sols,,Nine Sols,Nine Sols,,Nine Sols,Battle! (Champion),Battle! (Champion),,Battle! (Champion),Nine Sols,,Nine Sols,Nine Sols,Nine Sols,Battle! (Champion),,Battle! (Champion),Nine Sols,Battle! (Champion),Nine Sols,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Spring to mind,Auld Lang Syne,12,51,63,39,Auld Lang Syne,,Auld Lang Syne,Auld Lang Syne,Auld Lang Syne,,Auld Lang Syne,,Auld Lang Syne,Auld Lang Syne,Auld Lang Syne,,Spring to mind,Auld Lang Syne,Auld Lang Syne,Spring to mind,Auld Lang Syne,Auld Lang Syne,Auld Lang Syne,Auld Lang Syne,Auld Lang Syne,Auld Lang Syne,Auld Lang Syne,Auld Lang Syne,Auld Lang Syne,Auld Lang Syne,,Spring to mind,Auld Lang Syne,Auld Lang Syne,Spring to mind,Auld Lang Syne,,Auld Lang Syne,Auld Lang Syne,Auld Lang Syne,Spring to mind,,Auld Lang Syne,Auld Lang Syne,,,Auld Lang Syne,Auld Lang Syne,Auld Lang Syne,Auld Lang Syne,,Auld Lang Syne,Spring to mind,Spring to mind,Auld Lang Syne,Auld Lang Syne,Auld Lang Syne,,,Auld Lang Syne,,,Auld Lang Syne,,Auld Lang Syne,Spring to mind,Auld Lang Syne,Auld Lang Syne,,Auld Lang Syne,Spring to mind,,Spring to mind,Auld Lang Syne,Auld Lang Syne,,Auld Lang Syne,,Spring to mind,Auld Lang Syne,Spring to mind,Auld Lang Syne,Auld Lang Syne,,Auld Lang Syne,Auld Lang Syne,Auld Lang Syne,Auld Lang Syne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Brinstar Depths,Hikari no Metamorphosis,41,22,63,19,Brinstar Depths,,Hikari no Metamorphosis,Brinstar Depths,Brinstar Depths,,Hikari no Metamorphosis,,Brinstar Depths,Hikari no Metamorphosis,Brinstar Depths,,Brinstar Depths,Brinstar Depths,Brinstar Depths,Brinstar Depths,Brinstar Depths,Brinstar Depths,Brinstar Depths,Hikari no Metamorphosis,Brinstar Depths,Hikari no Metamorphosis,Brinstar Depths,Brinstar Depths,Brinstar Depths,Hikari no Metamorphosis,,Brinstar Depths,Hikari no Metamorphosis,Brinstar Depths,Brinstar Depths,Brinstar Depths,,,Brinstar Depths,Hikari no Metamorphosis,Brinstar Depths,,Hikari no Metamorphosis,Brinstar Depths,,,Brinstar Depths,Brinstar Depths,Hikari no Metamorphosis,Hikari no Metamorphosis,,Hikari no Metamorphosis,Hikari no Metamorphosis,Brinstar Depths,Brinstar Depths,Hikari no Metamorphosis,Brinstar Depths,,,Brinstar Depths,,,Brinstar Depths,,Hikari no Metamorphosis,Brinstar Depths,Hikari no Metamorphosis,Brinstar Depths,,Hikari no Metamorphosis,Brinstar Depths,,Brinstar Depths,Brinstar Depths,Hikari no Metamorphosis,,Brinstar Depths,Hikari no Metamorphosis,Brinstar Depths,Hikari no Metamorphosis,Brinstar Depths,Hikari no Metamorphosis,Brinstar Depths,,Brinstar Depths,Brinstar Depths,Hikari no Metamorphosis,Brinstar Depths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Neo Land,Kono Hoshi Ni Aru Inochi,33,23,56,10,Neo Land,,Neo Land,Kono Hoshi Ni Aru Inochi,Kono Hoshi Ni Aru Inochi,Kono Hoshi Ni Aru Inochi,Kono Hoshi Ni Aru Inochi,,,,,,,Kono Hoshi Ni Aru Inochi,Neo Land,Neo Land,Neo Land,,Neo Land,Neo Land,Kono Hoshi Ni Aru Inochi,Kono Hoshi Ni Aru Inochi,,Neo Land,Kono Hoshi Ni Aru Inochi,Neo Land,,Neo Land,Kono Hoshi Ni Aru Inochi,Neo Land,Neo Land,Neo Land,,Kono Hoshi Ni Aru Inochi,Neo Land,Kono Hoshi Ni Aru Inochi,Neo Land,,Kono Hoshi Ni Aru Inochi,Neo Land,,,Neo Land,Kono Hoshi Ni Aru Inochi,Kono Hoshi Ni Aru Inochi,Kono Hoshi Ni Aru Inochi,,Neo Land,Neo Land,,Kono Hoshi Ni Aru Inochi,Neo Land,,,,Neo Land,,,Neo Land,,Kono Hoshi Ni Aru Inochi,Neo Land,Neo Land,Kono Hoshi Ni Aru Inochi,,Kono Hoshi Ni Aru Inochi,Neo Land,,Neo Land,Kono Hoshi Ni Aru Inochi,Neo Land,,Neo Land,Neo Land,Neo Land,Kono Hoshi Ni Aru Inochi,Neo Land,Neo Land,Kono Hoshi Ni Aru Inochi,,,Neo Land,Kono Hoshi Ni Aru Inochi,Neo Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,SILVER LINING,October Mermaid,37,20,57,17,SILVER LINING,,October Mermaid,SILVER LINING,SILVER LINING,SILVER LINING,SILVER LINING,,,,,,,SILVER LINING,SILVER LINING,SILVER LINING,October Mermaid,,SILVER LINING,SILVER LINING,SILVER LINING,October Mermaid,,SILVER LINING,SILVER LINING,SILVER LINING,,October Mermaid,SILVER LINING,SILVER LINING,October Mermaid,SILVER LINING,,SILVER LINING,SILVER LINING,SILVER LINING,October Mermaid,,SILVER LINING,SILVER LINING,,,October Mermaid,SILVER LINING,SILVER LINING,SILVER LINING,,October Mermaid,October Mermaid,,October Mermaid,SILVER LINING,,,,SILVER LINING,,,October Mermaid,,SILVER LINING,SILVER LINING,SILVER LINING,SILVER LINING,,October Mermaid,October Mermaid,,October Mermaid,October Mermaid,SILVER LINING,,SILVER LINING,SILVER LINING,October Mermaid,SILVER LINING,October Mermaid,SILVER LINING,October Mermaid,,October Mermaid,October Mermaid,SILVER LINING,SILVER LINING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Song that Summons the Water Spirit - BLANCMUTE (8th.BGM),STARRY NIGHT FEVER,24,32,56,8,STARRY NIGHT FEVER,,STARRY NIGHT FEVER,Song that Summons the Water Spirit - BLANCMUTE (8th.BGM),STARRY NIGHT FEVER,STARRY NIGHT FEVER,STARRY NIGHT FEVER,,,,,,,Song that Summons the Water Spirit - BLANCMUTE (8th.BGM),STARRY NIGHT FEVER,Song that Summons the Water Spirit - BLANCMUTE (8th.BGM),Song that Summons the Water Spirit - BLANCMUTE (8th.BGM),,Song that Summons the Water Spirit - BLANCMUTE (8th.BGM),Song that Summons the Water Spirit - BLANCMUTE (8th.BGM),STARRY NIGHT FEVER,STARRY NIGHT FEVER,,Song that Summons the Water Spirit - BLANCMUTE (8th.BGM),Song that Summons the Water Spirit - BLANCMUTE (8th.BGM),Song that Summons the Water Spirit - BLANCMUTE (8th.BGM),,Song that Summons the Water Spirit - BLANCMUTE (8th.BGM),STARRY NIGHT FEVER,Song that Summons the Water Spirit - BLANCMUTE (8th.BGM),Song that Summons the Water Spirit - BLANCMUTE (8th.BGM),STARRY NIGHT FEVER,,STARRY NIGHT FEVER,STARRY NIGHT FEVER,STARRY NIGHT FEVER,Song that Summons the Water Spirit - BLANCMUTE (8th.BGM),,STARRY NIGHT FEVER,Song that Summons the Water Spirit - BLANCMUTE (8th.BGM),,,STARRY NIGHT FEVER,STARRY NIGHT FEVER,STARRY NIGHT FEVER,STARRY NIGHT FEVER,,STARRY NIGHT FEVER,STARRY NIGHT FEVER,,STARRY NIGHT FEVER,,,,,Song that Summons the Water Spirit - BLANCMUTE (8th.BGM),,,Song that Summons the Water Spirit - BLANCMUTE (8th.BGM),,STARRY NIGHT FEVER,Song that Summons the Water Spirit - BLANCMUTE (8th.BGM),Song that Summons the Water Spirit - BLANCMUTE (8th.BGM),STARRY NIGHT FEVER,,STARRY NIGHT FEVER,Song that Summons the Water Spirit - BLANCMUTE (8th.BGM),,Song that Summons the Water Spirit - BLANCMUTE (8th.BGM),STARRY NIGHT FEVER,STARRY NIGHT FEVER,,STARRY NIGHT FEVER,Song that Summons the Water Spirit - BLANCMUTE (8th.BGM),Song that Summons the Water Spirit - BLANCMUTE (8th.BGM),STARRY NIGHT FEVER,Song that Summons the Water Spirit - BLANCMUTE (8th.BGM),STARRY NIGHT FEVER,STARRY NIGHT FEVER,,STARRY NIGHT FEVER,Song that Summons the Water Spirit - BLANCMUTE (8th.BGM),STARRY NIGHT FEVER,STARRY NIGHT FEVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,In the Sea of Fire ~Lydie,Extol,29,25,54,4,In the Sea of Fire ~Lydie,,In the Sea of Fire ~Lydie,In the Sea of Fire ~Lydie,,In the Sea of Fire ~Lydie,,,,,Extol,,,In the Sea of Fire ~Lydie,Extol,In the Sea of Fire ~Lydie,Extol,,Extol,Extol,In the Sea of Fire ~Lydie,In the Sea of Fire ~Lydie,,Extol,In the Sea of Fire ~Lydie,Extol,,In the Sea of Fire ~Lydie,Extol,Extol,In the Sea of Fire ~Lydie,Extol,,In the Sea of Fire ~Lydie,Extol,In the Sea of Fire ~Lydie,In the Sea of Fire ~Lydie,,Extol,Extol,,,In the Sea of Fire ~Lydie,Extol,In the Sea of Fire ~Lydie,In the Sea of Fire ~Lydie,,In the Sea of Fire ~Lydie,In the Sea of Fire ~Lydie,,Extol,,In the Sea of Fire ~Lydie,,,In the Sea of Fire ~Lydie,,,In the Sea of Fire ~Lydie,,,In the Sea of Fire ~Lydie,Extol,In the Sea of Fire ~Lydie,,,Extol,,In the Sea of Fire ~Lydie,In the Sea of Fire ~Lydie,Extol,,Extol,Extol,Extol,In the Sea of Fire ~Lydie,Extol,In the Sea of Fire ~Lydie,In the Sea of Fire ~Lydie,,Extol,Extol,Extol,In the Sea of Fire ~Lydie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,"In Hell We Live, Lament",TA Level 700-899,37,18,55,19,"In Hell We Live, Lament",,"In Hell We Live, Lament","In Hell We Live, Lament",,"In Hell We Live, Lament",,,,,"In Hell We Live, Lament",,,TA Level 700-899,"In Hell We Live, Lament",TA Level 700-899,TA Level 700-899,,"In Hell We Live, Lament","In Hell We Live, Lament","In Hell We Live, Lament","In Hell We Live, Lament",,TA Level 700-899,"In Hell We Live, Lament","In Hell We Live, Lament",,TA Level 700-899,"In Hell We Live, Lament","In Hell We Live, Lament",TA Level 700-899,TA Level 700-899,,"In Hell We Live, Lament","In Hell We Live, Lament","In Hell We Live, Lament","In Hell We Live, Lament",,"In Hell We Live, Lament",TA Level 700-899,,,TA Level 700-899,"In Hell We Live, Lament","In Hell We Live, Lament","In Hell We Live, Lament",,"In Hell We Live, Lament",TA Level 700-899,,"In Hell We Live, Lament",,"In Hell We Live, Lament",,,TA Level 700-899,,,TA Level 700-899,,,"In Hell We Live, Lament","In Hell We Live, Lament","In Hell We Live, Lament",,"In Hell We Live, Lament",TA Level 700-899,,"In Hell We Live, Lament",TA Level 700-899,"In Hell We Live, Lament",,"In Hell We Live, Lament","In Hell We Live, Lament",TA Level 700-899,"In Hell We Live, Lament",TA Level 700-899,"In Hell We Live, Lament","In Hell We Live, Lament",,"In Hell We Live, Lament",TA Level 700-899,"In Hell We Live, Lament",TA Level 700-899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Non-Linear Reliance,Alice Ragnarok (Opening),25,29,54,4,Alice Ragnarok (Opening),,Alice Ragnarok (Opening),Alice Ragnarok (Opening),,Alice Ragnarok (Opening),,,,,Non-Linear Reliance,,,Alice Ragnarok (Opening),Alice Ragnarok (Opening),Non-Linear Reliance,Alice Ragnarok (Opening),,Non-Linear Reliance,Alice Ragnarok (Opening),Non-Linear Reliance,Non-Linear Reliance,,Non-Linear Reliance,Alice Ragnarok (Opening),Alice Ragnarok (Opening),,Non-Linear Reliance,Alice Ragnarok (Opening),Alice Ragnarok (Opening),Non-Linear Reliance,Non-Linear Reliance,,Alice Ragnarok (Opening),Non-Linear Reliance,Alice Ragnarok (Opening),Non-Linear Reliance,,Alice Ragnarok (Opening),Alice Ragnarok (Opening),,,Non-Linear Reliance,Non-Linear Reliance,Alice Ragnarok (Opening),Alice Ragnarok (Opening),,Alice Ragnarok (Opening),Non-Linear Reliance,,Non-Linear Reliance,,Alice Ragnarok (Opening),,,Non-Linear Reliance,,,Non-Linear Reliance,,,Non-Linear Reliance,Alice Ragnarok (Opening),Alice Ragnarok (Opening),,,Non-Linear Reliance,,Non-Linear Reliance,Non-Linear Reliance,Alice Ragnarok (Opening),,Non-Linear Reliance,Alice Ragnarok (Opening),Non-Linear Reliance,Alice Ragnarok (Opening),Non-Linear Reliance,Alice Ragnarok (Opening),Alice Ragnarok (Opening),,Alice Ragnarok (Opening),Alice Ragnarok (Opening),Alice Ragnarok (Opening),Non-Linear Reliance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Fall of Fall ~ Autumnal Waterfall,Obtain An Unused Whale In The Abstract Sea,24,33,57,9,Obtain An Unused Whale In The Abstract Sea,,Fall of Fall ~ Autumnal Waterfall,,Fall of Fall ~ Autumnal Waterfall,Obtain An Unused Whale In The Abstract Sea,Obtain An Unused Whale In The Abstract Sea,,Obtain An Unused Whale In The Abstract Sea,,Obtain An Unused Whale In The Abstract Sea,,,Obtain An Unused Whale In The Abstract Sea,,Fall of Fall ~ Autumnal Waterfall,Fall of Fall ~ Autumnal Waterfall,,Obtain An Unused Whale In The Abstract Sea,Fall of Fall ~ Autumnal Waterfall,Obtain An Unused Whale In The Abstract Sea,Obtain An Unused Whale In The Abstract Sea,Obtain An Unused Whale In The Abstract Sea,Obtain An Unused Whale In The Abstract Sea,Fall of Fall ~ Autumnal Waterfall,Obtain An Unused Whale In The Abstract Sea,,Fall of Fall ~ Autumnal Waterfall,Fall of Fall ~ Autumnal Waterfall,Obtain An Unused Whale In The Abstract Sea,Obtain An Unused Whale In The Abstract Sea,Obtain An Unused Whale In The Abstract Sea,,Fall of Fall ~ Autumnal Waterfall,Obtain An Unused Whale In The Abstract Sea,Fall of Fall ~ Autumnal Waterfall,Obtain An Unused Whale In The Abstract Sea,,Obtain An Unused Whale In The Abstract Sea,Obtain An Unused Whale In The Abstract Sea,,,Obtain An Unused Whale In The Abstract Sea,,Fall of Fall ~ Autumnal Waterfall,Fall of Fall ~ Autumnal Waterfall,,Obtain An Unused Whale In The Abstract Sea,Obtain An Unused Whale In The Abstract Sea,,Obtain An Unused Whale In The Abstract Sea,Fall of Fall ~ Autumnal Waterfall,,,,Obtain An Unused Whale In The Abstract Sea,,,Obtain An Unused Whale In The Abstract Sea,,Fall of Fall ~ Autumnal Waterfall,Fall of Fall ~ Autumnal Waterfall,Fall of Fall ~ Autumnal Waterfall,Obtain An Unused Whale In The Abstract Sea,,Fall of Fall ~ Autumnal Waterfall,Fall of Fall ~ Autumnal Waterfall,,Obtain An Unused Whale In The Abstract Sea,Obtain An Unused Whale In The Abstract Sea,Fall of Fall ~ Autumnal Waterfall,,Fall of Fall ~ Autumnal Waterfall,Obtain An Unused Whale In The Abstract Sea,Obtain An Unused Whale In The Abstract Sea,Fall of Fall ~ Autumnal Waterfall,Obtain An Unused Whale In The Abstract Sea,Obtain An Unused Whale In The Abstract Sea,Obtain An Unused Whale In The Abstract Sea,,Fall of Fall ~ Autumnal Waterfall,Obtain An Unused Whale In The Abstract Sea,Fall of Fall ~ Autumnal Waterfall,Fall of Fall ~ Autumnal Waterfall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,The Concept of Love (The Concept of Passion Mix),Apotheosis,28,29,57,1,Apotheosis,,The Concept of Love (The Concept of Passion Mix),,The Concept of Love (The Concept of Passion Mix),Apotheosis,The Concept of Love (The Concept of Passion Mix),,Apotheosis,,The Concept of Love (The Concept of Passion Mix),,,Apotheosis,,The Concept of Love (The Concept of Passion Mix),Apotheosis,,The Concept of Love (The Concept of Passion Mix),The Concept of Love (The Concept of Passion Mix),Apotheosis,The Concept of Love (The Concept of Passion Mix),Apotheosis,The Concept of Love (The Concept of Passion Mix),Apotheosis,The Concept of Love (The Concept of Passion Mix),,Apotheosis,Apotheosis,Apotheosis,Apotheosis,The Concept of Love (The Concept of Passion Mix),,The Concept of Love (The Concept of Passion Mix),The Concept of Love (The Concept of Passion Mix),The Concept of Love (The Concept of Passion Mix),Apotheosis,,Apotheosis,The Concept of Love (The Concept of Passion Mix),,,The Concept of Love (The Concept of Passion Mix),,Apotheosis,The Concept of Love (The Concept of Passion Mix),,Apotheosis,The Concept of Love (The Concept of Passion Mix),,Apotheosis,Apotheosis,,,,The Concept of Love (The Concept of Passion Mix),,,Apotheosis,,Apotheosis,The Concept of Love (The Concept of Passion Mix),Apotheosis,The Concept of Love (The Concept of Passion Mix),,Apotheosis,The Concept of Love (The Concept of Passion Mix),,The Concept of Love (The Concept of Passion Mix),Apotheosis,The Concept of Love (The Concept of Passion Mix),,The Concept of Love (The Concept of Passion Mix),The Concept of Love (The Concept of Passion Mix),Apotheosis,Apotheosis,Apotheosis,Apotheosis,The Concept of Love (The Concept of Passion Mix),,Apotheosis,Apotheosis,Apotheosis,The Concept of Love (The Concept of Passion Mix),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Fractured Shrines,The Apex of the World (Rain),21,33,54,12,The Apex of the World (Rain),,The Apex of the World (Rain),,The Apex of the World (Rain),Fractured Shrines,Fractured Shrines,,The Apex of the World (Rain),,Fractured Shrines,,,The Apex of the World (Rain),,Fractured Shrines,Fractured Shrines,,The Apex of the World (Rain),The Apex of the World (Rain),The Apex of the World (Rain),The Apex of the World (Rain),The Apex of the World (Rain),,Fractured Shrines,Fractured Shrines,,The Apex of the World (Rain),The Apex of the World (Rain),The Apex of the World (Rain),The Apex of the World (Rain),Fractured Shrines,,,The Apex of the World (Rain),The Apex of the World (Rain),The Apex of the World (Rain),,The Apex of the World (Rain),Fractured Shrines,,,The Apex of the World (Rain),,Fractured Shrines,The Apex of the World (Rain),,The Apex of the World (Rain),Fractured Shrines,,The Apex of the World (Rain),Fractured Shrines,,,,Fractured Shrines,,,The Apex of the World (Rain),,The Apex of the World (Rain),The Apex of the World (Rain),Fractured Shrines,Fractured Shrines,,The Apex of the World (Rain),The Apex of the World (Rain),,The Apex of the World (Rain),Fractured Shrines,The Apex of the World (Rain),,The Apex of the World (Rain),Fractured Shrines,,The Apex of the World (Rain),The Apex of the World (Rain),Fractured Shrines,The Apex of the World (Rain),,Fractured Shrines,Fractured Shrines,The Apex of the World (Rain),Fractured Shrines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,At Tokione,Blow Me Away,36,19,55,17,At Tokione,,Blow Me Away,Blow Me Away,Blow Me Away,Blow Me Away,Blow Me Away,,,,,,,At Tokione,Blow Me Away,At Tokione,At Tokione,,At Tokione,Blow Me Away,At Tokione,At Tokione,At Tokione,At Tokione,At Tokione,Blow Me Away,,At Tokione,At Tokione,Blow Me Away,At Tokione,At Tokione,,At Tokione,At Tokione,Blow Me Away,At Tokione,,At Tokione,At Tokione,,,At Tokione,,At Tokione,Blow Me Away,,At Tokione,At Tokione,,At Tokione,At Tokione,,,,At Tokione,,,At Tokione,,Blow Me Away,At Tokione,At Tokione,At Tokione,,Blow Me Away,Blow Me Away,,At Tokione,At Tokione,Blow Me Away,,At Tokione,Blow Me Away,At Tokione,Blow Me Away,At Tokione,Blow Me Away,,,At Tokione,At Tokione,Blow Me Away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,A.D. 1995 Story,Synthesis.,22,33,55,11,Synthesis.,,A.D. 1995 Story,Synthesis.,A.D. 1995 Story,A.D. 1995 Story,Synthesis.,,,,,,,Synthesis.,A.D. 1995 Story,Synthesis.,A.D. 1995 Story,,Synthesis.,Synthesis.,Synthesis.,Synthesis.,Synthesis.,A.D. 1995 Story,Synthesis.,A.D. 1995 Story,,Synthesis.,A.D. 1995 Story,A.D. 1995 Story,A.D. 1995 Story,A.D. 1995 Story,,Synthesis.,A.D. 1995 Story,Synthesis.,Synthesis.,,Synthesis.,Synthesis.,,,Synthesis.,,A.D. 1995 Story,Synthesis.,,Synthesis.,Synthesis.,,Synthesis.,Synthesis.,,,,Synthesis.,,,A.D. 1995 Story,,Synthesis.,Synthesis.,A.D. 1995 Story,Synthesis.,,A.D. 1995 Story,Synthesis.,,Synthesis.,A.D. 1995 Story,Synthesis.,,A.D. 1995 Story,Synthesis.,A.D. 1995 Story,Synthesis.,A.D. 1995 Story,Synthesis.,A.D. 1995 Story,,,Synthesis.,A.D. 1995 Story,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Outdoors at 7 p.m. (Sunny) / Main Street,Head Scratcher,25,30,55,5,Head Scratcher,,Head Scratcher,Head Scratcher,Head Scratcher,Head Scratcher,Head Scratcher,,,,,,Head Scratcher,Head Scratcher,Outdoors at 7 p.m. (Sunny) / Main Street,Head Scratcher,Outdoors at 7 p.m. (Sunny) / Main Street,,Head Scratcher,Outdoors at 7 p.m. (Sunny) / Main Street,Head Scratcher,Outdoors at 7 p.m. (Sunny) / Main Street,Head Scratcher,Outdoors at 7 p.m. (Sunny) / Main Street,Head Scratcher,Head Scratcher,,Outdoors at 7 p.m. (Sunny) / Main Street,Outdoors at 7 p.m. (Sunny) / Main Street,Outdoors at 7 p.m. (Sunny) / Main Street,Outdoors at 7 p.m. (Sunny) / Main Street,Head Scratcher,,Outdoors at 7 p.m. (Sunny) / Main Street,Outdoors at 7 p.m. (Sunny) / Main Street,Head Scratcher,Head Scratcher,,Head Scratcher,Outdoors at 7 p.m. (Sunny) / Main Street,,,Outdoors at 7 p.m. (Sunny) / Main Street,,Head Scratcher,Head Scratcher,,Head Scratcher,Head Scratcher,,Outdoors at 7 p.m. (Sunny) / Main Street,Outdoors at 7 p.m. (Sunny) / Main Street,,,,Head Scratcher,,,Outdoors at 7 p.m. (Sunny) / Main Street,,Outdoors at 7 p.m. (Sunny) / Main Street,Outdoors at 7 p.m. (Sunny) / Main Street,Outdoors at 7 p.m. (Sunny) / Main Street,Head Scratcher,,Head Scratcher,Head Scratcher,,Outdoors at 7 p.m. (Sunny) / Main Street,Head Scratcher,Outdoors at 7 p.m. (Sunny) / Main Street,,Outdoors at 7 p.m. (Sunny) / Main Street,,Outdoors at 7 p.m. (Sunny) / Main Street,Head Scratcher,Outdoors at 7 p.m. (Sunny) / Main Street,Head Scratcher,Head Scratcher,,,Outdoors at 7 p.m. (Sunny) / Main Street,Head Scratcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
