ID,Song A,Song B,Votes A,Votes B,Total,Margin,Winner,,akk,ama,andy,arti,azu,barrel,bebr,cako,cap,chaeix,chaos,collen,crest,dan,dem,deo,devi,dire,dis,dowolf,dragon,drj133,ema,fivda,fl81,flam,gall,gba,golden,haste,hb,hbj,horita,hotdog,hunt,isquen,janus,jona,jungle,kama,kcf,kid,koala,korji,lasa,lefty,lem,mac,marg,mark,max,mega,mihark,moon,mzero,nfun,orange,p0,pablo,para,pixel,place,plas,pony,prince,prod,prody,pyre,rev,rika,rwlh,sceptile,sergio,shark,skull,sly,taffer,tazzy,tennis,tgs,tked,tre,tunnel,turus,uf8,wave,xx521,yhen,zel
57,The Amazon,Hex of Pygmalion,39,23,62,16,The Amazon,,,,The Amazon,,The Amazon,The Amazon,,,,,,The Amazon,,The Amazon,The Amazon,Hex of Pygmalion,The Amazon,Hex of Pygmalion,The Amazon,The Amazon,The Amazon,The Amazon,Hex of Pygmalion,Hex of Pygmalion,Hex of Pygmalion,,Hex of Pygmalion,,Hex of Pygmalion,,The Amazon,The Amazon,Hex of Pygmalion,Hex of Pygmalion,The Amazon,The Amazon,Hex of Pygmalion,Hex of Pygmalion,Hex of Pygmalion,Hex of Pygmalion,The Amazon,,,The Amazon,,The Amazon,The Amazon,Hex of Pygmalion,The Amazon,The Amazon,The Amazon,The Amazon,,,,,The Amazon,The Amazon,Hex of Pygmalion,The Amazon,,,Hex of Pygmalion,The Amazon,The Amazon,The Amazon,Hex of Pygmalion,The Amazon,,,The Amazon,The Amazon,Hex of Pygmalion,The Amazon,The Amazon,The Amazon,The Amazon,,,Hex of Pygmalion,The Amazon,Hex of Pygmalion,Hex of Pygmalion,Hex of Pygmalion,Hex of Pygmalion,The Amazon,The Amazon,,
58,Dungeon,The Last Specter's Theme,19,41,60,22,The Last Specter's Theme,,,,The Last Specter's Theme,,The Last Specter's Theme,Dungeon,,,,,,Dungeon,,The Last Specter's Theme,,Dungeon,The Last Specter's Theme,The Last Specter's Theme,The Last Specter's Theme,Dungeon,Dungeon,The Last Specter's Theme,The Last Specter's Theme,The Last Specter's Theme,The Last Specter's Theme,,Dungeon,,Dungeon,,The Last Specter's Theme,Dungeon,Dungeon,Dungeon,The Last Specter's Theme,The Last Specter's Theme,The Last Specter's Theme,The Last Specter's Theme,The Last Specter's Theme,The Last Specter's Theme,The Last Specter's Theme,,,The Last Specter's Theme,,The Last Specter's Theme,The Last Specter's Theme,The Last Specter's Theme,The Last Specter's Theme,Dungeon,The Last Specter's Theme,Dungeon,,,,Dungeon,The Last Specter's Theme,The Last Specter's Theme,The Last Specter's Theme,The Last Specter's Theme,,,The Last Specter's Theme,Dungeon,Dungeon,The Last Specter's Theme,,The Last Specter's Theme,,,,The Last Specter's Theme,Dungeon,The Last Specter's Theme,The Last Specter's Theme,The Last Specter's Theme,The Last Specter's Theme,,,Dungeon,Dungeon,The Last Specter's Theme,Dungeon,The Last Specter's Theme,The Last Specter's Theme,The Last Specter's Theme,The Last Specter's Theme,,
59,Between Two Worlds (Realm of Darkness),Apollo,24,36,60,12,Apollo,,,,Between Two Worlds (Realm of Darkness),,Between Two Worlds (Realm of Darkness),Between Two Worlds (Realm of Darkness),,,,,,Apollo,,Apollo,Apollo,Apollo,Between Two Worlds (Realm of Darkness),Apollo,Apollo,Between Two Worlds (Realm of Darkness),,Apollo,Apollo,Apollo,Between Two Worlds (Realm of Darkness),,Between Two Worlds (Realm of Darkness),,Apollo,,Between Two Worlds (Realm of Darkness),Between Two Worlds (Realm of Darkness),Apollo,Apollo,Apollo,Between Two Worlds (Realm of Darkness),Apollo,Apollo,Between Two Worlds (Realm of Darkness),Apollo,Apollo,,,Between Two Worlds (Realm of Darkness),,Apollo,Apollo,Between Two Worlds (Realm of Darkness),Between Two Worlds (Realm of Darkness),Apollo,Apollo,Apollo,,,,Apollo,Between Two Worlds (Realm of Darkness),Between Two Worlds (Realm of Darkness),Between Two Worlds (Realm of Darkness),Apollo,,,Between Two Worlds (Realm of Darkness),Apollo,Apollo,Apollo,Apollo,Between Two Worlds (Realm of Darkness),,,Apollo,Apollo,Apollo,,Between Two Worlds (Realm of Darkness),Between Two Worlds (Realm of Darkness),,,,Apollo,Apollo,Between Two Worlds (Realm of Darkness),Apollo,Between Two Worlds (Realm of Darkness),Apollo,Between Two Worlds (Realm of Darkness),Apollo,,
60,A Journey for You Alone Re:boot,Battle! (Zero Lab),29,35,64,6,Battle! (Zero Lab),,,,A Journey for You Alone Re:boot,,Battle! (Zero Lab),Battle! (Zero Lab),,Battle! (Zero Lab),,,,Battle! (Zero Lab),,Battle! (Zero Lab),,Battle! (Zero Lab),Battle! (Zero Lab),Battle! (Zero Lab),Battle! (Zero Lab),A Journey for You Alone Re:boot,Battle! (Zero Lab),Battle! (Zero Lab),Battle! (Zero Lab),A Journey for You Alone Re:boot,A Journey for You Alone Re:boot,,A Journey for You Alone Re:boot,,Battle! (Zero Lab),,Battle! (Zero Lab),A Journey for You Alone Re:boot,A Journey for You Alone Re:boot,,Battle! (Zero Lab),Battle! (Zero Lab),A Journey for You Alone Re:boot,A Journey for You Alone Re:boot,Battle! (Zero Lab),,Battle! (Zero Lab),Battle! (Zero Lab),,A Journey for You Alone Re:boot,,A Journey for You Alone Re:boot,A Journey for You Alone Re:boot,Battle! (Zero Lab),A Journey for You Alone Re:boot,Battle! (Zero Lab),A Journey for You Alone Re:boot,Battle! (Zero Lab),A Journey for You Alone Re:boot,,,Battle! (Zero Lab),A Journey for You Alone Re:boot,Battle! (Zero Lab),A Journey for You Alone Re:boot,Battle! (Zero Lab),,,A Journey for You Alone Re:boot,A Journey for You Alone Re:boot,Battle! (Zero Lab),A Journey for You Alone Re:boot,Battle! (Zero Lab),A Journey for You Alone Re:boot,,A Journey for You Alone Re:boot,Battle! (Zero Lab),A Journey for You Alone Re:boot,Battle! (Zero Lab),A Journey for You Alone Re:boot,A Journey for You Alone Re:boot,Battle! (Zero Lab),,,Battle! (Zero Lab),Battle! (Zero Lab),Battle! (Zero Lab),A Journey for You Alone Re:boot,Battle! (Zero Lab),Battle! (Zero Lab),A Journey for You Alone Re:boot,,A Journey for You Alone Re:boot,,A Journey for You Alone Re:boot
61,Duel in the Mist,Remnants of Celestial (Stage 3),22,43,65,21,Remnants of Celestial (Stage 3),,,,Remnants of Celestial (Stage 3),,Duel in the Mist,Duel in the Mist,,Duel in the Mist,,,,Remnants of Celestial (Stage 3),,Remnants of Celestial (Stage 3),,Remnants of Celestial (Stage 3),Remnants of Celestial (Stage 3),Remnants of Celestial (Stage 3),Remnants of Celestial (Stage 3),Remnants of Celestial (Stage 3),Remnants of Celestial (Stage 3),Duel in the Mist,Remnants of Celestial (Stage 3),Duel in the Mist,Remnants of Celestial (Stage 3),,Remnants of Celestial (Stage 3),,Duel in the Mist,Remnants of Celestial (Stage 3),Remnants of Celestial (Stage 3),Remnants of Celestial (Stage 3),Duel in the Mist,,Remnants of Celestial (Stage 3),Duel in the Mist,Remnants of Celestial (Stage 3),Duel in the Mist,Remnants of Celestial (Stage 3),,Remnants of Celestial (Stage 3),Remnants of Celestial (Stage 3),,Remnants of Celestial (Stage 3),,Remnants of Celestial (Stage 3),Remnants of Celestial (Stage 3),Remnants of Celestial (Stage 3),Duel in the Mist,Remnants of Celestial (Stage 3),Duel in the Mist,Remnants of Celestial (Stage 3),Remnants of Celestial (Stage 3),,,Remnants of Celestial (Stage 3),Duel in the Mist,Duel in the Mist,Remnants of Celestial (Stage 3),Remnants of Celestial (Stage 3),,,Remnants of Celestial (Stage 3),Remnants of Celestial (Stage 3),Duel in the Mist,Remnants of Celestial (Stage 3),Remnants of Celestial (Stage 3),Duel in the Mist,,Remnants of Celestial (Stage 3),,Duel in the Mist,Remnants of Celestial (Stage 3),Duel in the Mist,Duel in the Mist,Duel in the Mist,Duel in the Mist,,Duel in the Mist,Remnants of Celestial (Stage 3),Remnants of Celestial (Stage 3),Remnants of Celestial (Stage 3),Remnants of Celestial (Stage 3),Duel in the Mist,Remnants of Celestial (Stage 3),,Remnants of Celestial (Stage 3),,Remnants of Celestial (Stage 3)
62,Waltz,DADADADADADADADADADA (Long Version),29,37,66,8,DADADADADADADADADADA (Long Version),,,,Waltz,,DADADADADADADADADADA (Long Version),Waltz,,Waltz,,,,DADADADADADADADADADA (Long Version),,Waltz,,DADADADADADADADADADA (Long Version),DADADADADADADADADADA (Long Version),Waltz,DADADADADADADADADADA (Long Version),DADADADADADADADADADA (Long Version),DADADADADADADADADADA (Long Version),Waltz,DADADADADADADADADADA (Long Version),Waltz,DADADADADADADADADADA (Long Version),,DADADADADADADADADADA (Long Version),,DADADADADADADADADADA (Long Version),Waltz,DADADADADADADADADADA (Long Version),Waltz,DADADADADADADADADADA (Long Version),,DADADADADADADADADADA (Long Version),DADADADADADADADADADA (Long Version),DADADADADADADADADADA (Long Version),DADADADADADADADADADA (Long Version),DADADADADADADADADADA (Long Version),,Waltz,DADADADADADADADADADA (Long Version),,Waltz,,DADADADADADADADADADA (Long Version),DADADADADADADADADADA (Long Version),DADADADADADADADADADA (Long Version),Waltz,Waltz,Waltz,DADADADADADADADADADA (Long Version),Waltz,,,DADADADADADADADADADA (Long Version),Waltz,DADADADADADADADADADA (Long Version),DADADADADADADADADADA (Long Version),Waltz,,,DADADADADADADADADADA (Long Version),DADADADADADADADADADA (Long Version),Waltz,DADADADADADADADADADA (Long Version),,Waltz,,DADADADADADADADADADA (Long Version),DADADADADADADADADADA (Long Version),DADADADADADADADADADA (Long Version),Waltz,Waltz,Waltz,DADADADADADADADADADA (Long Version),Waltz,,DADADADADADADADADADA (Long Version),DADADADADADADADADADA (Long Version),Waltz,DADADADADADADADADADA (Long Version),Waltz,Waltz,Waltz,Waltz,Waltz,,DADADADADADADADADADA (Long Version)
63,Mt. Pyre Exterior,"""Left Alone"" - Theme of Brimstone Elemental",29,32,61,3,"""Left Alone"" - Theme of Brimstone Elemental",,,,Mt. Pyre Exterior,"""Left Alone"" - Theme of Brimstone Elemental","""Left Alone"" - Theme of Brimstone Elemental",,,,,,,Mt. Pyre Exterior,,Mt. Pyre Exterior,,Mt. Pyre Exterior,"""Left Alone"" - Theme of Brimstone Elemental",Mt. Pyre Exterior,"""Left Alone"" - Theme of Brimstone Elemental","""Left Alone"" - Theme of Brimstone Elemental",Mt. Pyre Exterior,"""Left Alone"" - Theme of Brimstone Elemental",Mt. Pyre Exterior,Mt. Pyre Exterior,Mt. Pyre Exterior,,Mt. Pyre Exterior,,Mt. Pyre Exterior,"""Left Alone"" - Theme of Brimstone Elemental",Mt. Pyre Exterior,"""Left Alone"" - Theme of Brimstone Elemental","""Left Alone"" - Theme of Brimstone Elemental",Mt. Pyre Exterior,"""Left Alone"" - Theme of Brimstone Elemental","""Left Alone"" - Theme of Brimstone Elemental","""Left Alone"" - Theme of Brimstone Elemental","""Left Alone"" - Theme of Brimstone Elemental",Mt. Pyre Exterior,Mt. Pyre Exterior,Mt. Pyre Exterior,,,"""Left Alone"" - Theme of Brimstone Elemental",,"""Left Alone"" - Theme of Brimstone Elemental","""Left Alone"" - Theme of Brimstone Elemental","""Left Alone"" - Theme of Brimstone Elemental",Mt. Pyre Exterior,"""Left Alone"" - Theme of Brimstone Elemental",Mt. Pyre Exterior,Mt. Pyre Exterior,,,,"""Left Alone"" - Theme of Brimstone Elemental","""Left Alone"" - Theme of Brimstone Elemental","""Left Alone"" - Theme of Brimstone Elemental",Mt. Pyre Exterior,Mt. Pyre Exterior,,,,"""Left Alone"" - Theme of Brimstone Elemental",Mt. Pyre Exterior,"""Left Alone"" - Theme of Brimstone Elemental","""Left Alone"" - Theme of Brimstone Elemental",Mt. Pyre Exterior,,,Mt. Pyre Exterior,Mt. Pyre Exterior,"""Left Alone"" - Theme of Brimstone Elemental",Mt. Pyre Exterior,Mt. Pyre Exterior,Mt. Pyre Exterior,"""Left Alone"" - Theme of Brimstone Elemental",,,"""Left Alone"" - Theme of Brimstone Elemental","""Left Alone"" - Theme of Brimstone Elemental","""Left Alone"" - Theme of Brimstone Elemental","""Left Alone"" - Theme of Brimstone Elemental","""Left Alone"" - Theme of Brimstone Elemental",Mt. Pyre Exterior,,"""Left Alone"" - Theme of Brimstone Elemental",,
64,Trajectory of the Kiyarora Satellite (Long Version),The Best Is Yet To Come,42,18,60,24,Trajectory of the Kiyarora Satellite (Long Version),,,,Trajectory of the Kiyarora Satellite (Long Version),The Best Is Yet To Come,Trajectory of the Kiyarora Satellite (Long Version),,,,,,,Trajectory of the Kiyarora Satellite (Long Version),,Trajectory of the Kiyarora Satellite (Long Version),,Trajectory of the Kiyarora Satellite (Long Version),Trajectory of the Kiyarora Satellite (Long Version),Trajectory of the Kiyarora Satellite (Long Version),Trajectory of the Kiyarora Satellite (Long Version),The Best Is Yet To Come,The Best Is Yet To Come,Trajectory of the Kiyarora Satellite (Long Version),Trajectory of the Kiyarora Satellite (Long Version),Trajectory of the Kiyarora Satellite (Long Version),The Best Is Yet To Come,,Trajectory of the Kiyarora Satellite (Long Version),,Trajectory of the Kiyarora Satellite (Long Version),Trajectory of the Kiyarora Satellite (Long Version),Trajectory of the Kiyarora Satellite (Long Version),The Best Is Yet To Come,Trajectory of the Kiyarora Satellite (Long Version),Trajectory of the Kiyarora Satellite (Long Version),Trajectory of the Kiyarora Satellite (Long Version),The Best Is Yet To Come,Trajectory of the Kiyarora Satellite (Long Version),Trajectory of the Kiyarora Satellite (Long Version),,Trajectory of the Kiyarora Satellite (Long Version),Trajectory of the Kiyarora Satellite (Long Version),,,Trajectory of the Kiyarora Satellite (Long Version),,The Best Is Yet To Come,Trajectory of the Kiyarora Satellite (Long Version),Trajectory of the Kiyarora Satellite (Long Version),Trajectory of the Kiyarora Satellite (Long Version),Trajectory of the Kiyarora Satellite (Long Version),The Best Is Yet To Come,Trajectory of the Kiyarora Satellite (Long Version),,,,Trajectory of the Kiyarora Satellite (Long Version),Trajectory of the Kiyarora Satellite (Long Version),The Best Is Yet To Come,The Best Is Yet To Come,The Best Is Yet To Come,,,,Trajectory of the Kiyarora Satellite (Long Version),The Best Is Yet To Come,The Best Is Yet To Come,Trajectory of the Kiyarora Satellite (Long Version),The Best Is Yet To Come,,,Trajectory of the Kiyarora Satellite (Long Version),Trajectory of the Kiyarora Satellite (Long Version),Trajectory of the Kiyarora Satellite (Long Version),The Best Is Yet To Come,The Best Is Yet To Come,Trajectory of the Kiyarora Satellite (Long Version),The Best Is Yet To Come,,,Trajectory of the Kiyarora Satellite (Long Version),Trajectory of the Kiyarora Satellite (Long Version),The Best Is Yet To Come,Trajectory of the Kiyarora Satellite (Long Version),Trajectory of the Kiyarora Satellite (Long Version),Trajectory of the Kiyarora Satellite (Long Version),,Trajectory of the Kiyarora Satellite (Long Version),,
65,Stage 2 (Frozen Cave),Frozen Grounds,24,36,60,12,Frozen Grounds,,,,Frozen Grounds,Frozen Grounds,Frozen Grounds,,,,,,,Stage 2 (Frozen Cave),,Frozen Grounds,,Frozen Grounds,Frozen Grounds,Frozen Grounds,Frozen Grounds,Stage 2 (Frozen Cave),Stage 2 (Frozen Cave),Frozen Grounds,Frozen Grounds,Frozen Grounds,Frozen Grounds,,Stage 2 (Frozen Cave),,Frozen Grounds,Stage 2 (Frozen Cave),Frozen Grounds,Frozen Grounds,Stage 2 (Frozen Cave),Stage 2 (Frozen Cave),Frozen Grounds,Stage 2 (Frozen Cave),Frozen Grounds,Stage 2 (Frozen Cave),Stage 2 (Frozen Cave),Frozen Grounds,Stage 2 (Frozen Cave),,,Frozen Grounds,,Frozen Grounds,Frozen Grounds,Frozen Grounds,Frozen Grounds,Stage 2 (Frozen Cave),Frozen Grounds,Stage 2 (Frozen Cave),,,,Stage 2 (Frozen Cave),Stage 2 (Frozen Cave),Frozen Grounds,Stage 2 (Frozen Cave),Frozen Grounds,,,,Stage 2 (Frozen Cave),Stage 2 (Frozen Cave),Frozen Grounds,Frozen Grounds,Frozen Grounds,,,,Frozen Grounds,Stage 2 (Frozen Cave),Frozen Grounds,Frozen Grounds,Frozen Grounds,Stage 2 (Frozen Cave),,,Frozen Grounds,Stage 2 (Frozen Cave),Stage 2 (Frozen Cave),Stage 2 (Frozen Cave),Frozen Grounds,Stage 2 (Frozen Cave),,Frozen Grounds,,
66,Freezing Temple,Another Winter,32,31,63,1,Freezing Temple,,Freezing Temple,,Another Winter,Another Winter,Another Winter,Another Winter,,Freezing Temple,,,,Freezing Temple,,Freezing Temple,Freezing Temple,Another Winter,Freezing Temple,Another Winter,Another Winter,Another Winter,Freezing Temple,Freezing Temple,,Freezing Temple,Freezing Temple,,Another Winter,,Another Winter,Freezing Temple,Another Winter,Another Winter,Freezing Temple,Freezing Temple,Freezing Temple,Another Winter,Freezing Temple,,Freezing Temple,,Another Winter,Another Winter,,Freezing Temple,,Freezing Temple,Another Winter,Freezing Temple,Another Winter,Another Winter,Freezing Temple,,,,,Freezing Temple,Freezing Temple,Another Winter,Freezing Temple,Freezing Temple,,,,Another Winter,Freezing Temple,Freezing Temple,Another Winter,Another Winter,,,Freezing Temple,Another Winter,Freezing Temple,Another Winter,Another Winter,Another Winter,Another Winter,,,Another Winter,Freezing Temple,Another Winter,Another Winter,Freezing Temple,Freezing Temple,Freezing Temple,Another Winter,,
67,Wonder Panorama,Frozen Moonlight,24,36,60,12,Frozen Moonlight,,Wonder Panorama,,Frozen Moonlight,Frozen Moonlight,Frozen Moonlight,Frozen Moonlight,,Wonder Panorama,,,,Frozen Moonlight,,Frozen Moonlight,,Wonder Panorama,Wonder Panorama,Frozen Moonlight,Frozen Moonlight,Frozen Moonlight,Wonder Panorama,Wonder Panorama,,Wonder Panorama,Frozen Moonlight,,Frozen Moonlight,,Frozen Moonlight,Wonder Panorama,Wonder Panorama,Wonder Panorama,Wonder Panorama,Frozen Moonlight,Frozen Moonlight,Wonder Panorama,Frozen Moonlight,,Frozen Moonlight,,Frozen Moonlight,Frozen Moonlight,,Frozen Moonlight,,Frozen Moonlight,Frozen Moonlight,Frozen Moonlight,Frozen Moonlight,Frozen Moonlight,Wonder Panorama,,Frozen Moonlight,,,Wonder Panorama,Wonder Panorama,Wonder Panorama,Frozen Moonlight,Wonder Panorama,,,,Frozen Moonlight,Wonder Panorama,,,Frozen Moonlight,,,Wonder Panorama,Frozen Moonlight,Wonder Panorama,Frozen Moonlight,Frozen Moonlight,Wonder Panorama,Wonder Panorama,,,Frozen Moonlight,Frozen Moonlight,Frozen Moonlight,Wonder Panorama,Frozen Moonlight,Wonder Panorama,,Frozen Moonlight,,
68,Colder Than the Rest,Alabaster Icelands 1,26,38,64,12,Alabaster Icelands 1,,Colder Than the Rest,,Colder Than the Rest,Alabaster Icelands 1,Colder Than the Rest,Colder Than the Rest,,Alabaster Icelands 1,,,,Colder Than the Rest,,Alabaster Icelands 1,Colder Than the Rest,Alabaster Icelands 1,Alabaster Icelands 1,Alabaster Icelands 1,Alabaster Icelands 1,Alabaster Icelands 1,Colder Than the Rest,Alabaster Icelands 1,,Alabaster Icelands 1,Alabaster Icelands 1,,Colder Than the Rest,,Colder Than the Rest,Alabaster Icelands 1,Alabaster Icelands 1,Colder Than the Rest,Alabaster Icelands 1,Colder Than the Rest,Alabaster Icelands 1,Alabaster Icelands 1,Alabaster Icelands 1,,Alabaster Icelands 1,,Alabaster Icelands 1,Alabaster Icelands 1,,Alabaster Icelands 1,,Colder Than the Rest,Alabaster Icelands 1,Alabaster Icelands 1,Alabaster Icelands 1,Colder Than the Rest,Colder Than the Rest,,Alabaster Icelands 1,,,Colder Than the Rest,Alabaster Icelands 1,Colder Than the Rest,Alabaster Icelands 1,Alabaster Icelands 1,,,,Colder Than the Rest,Colder Than the Rest,Colder Than the Rest,Alabaster Icelands 1,Alabaster Icelands 1,,,Colder Than the Rest,Alabaster Icelands 1,Alabaster Icelands 1,Colder Than the Rest,Colder Than the Rest,Colder Than the Rest,Colder Than the Rest,,,Colder Than the Rest,Alabaster Icelands 1,Alabaster Icelands 1,Colder Than the Rest,Alabaster Icelands 1,Alabaster Icelands 1,Alabaster Icelands 1,Alabaster Icelands 1,,
69,Rainbow after snow,Catastrophe in Bhava-agra ~ Wonderful Heaven,32,24,56,8,Rainbow after snow,,,,Catastrophe in Bhava-agra ~ Wonderful Heaven,,Rainbow after snow,,,Rainbow after snow,,,,Catastrophe in Bhava-agra ~ Wonderful Heaven,,Rainbow after snow,,Rainbow after snow,Catastrophe in Bhava-agra ~ Wonderful Heaven,Rainbow after snow,Catastrophe in Bhava-agra ~ Wonderful Heaven,Rainbow after snow,Rainbow after snow,Catastrophe in Bhava-agra ~ Wonderful Heaven,Catastrophe in Bhava-agra ~ Wonderful Heaven,Catastrophe in Bhava-agra ~ Wonderful Heaven,Catastrophe in Bhava-agra ~ Wonderful Heaven,,Rainbow after snow,,,,Catastrophe in Bhava-agra ~ Wonderful Heaven,Rainbow after snow,Rainbow after snow,,Catastrophe in Bhava-agra ~ Wonderful Heaven,Rainbow after snow,Catastrophe in Bhava-agra ~ Wonderful Heaven,Rainbow after snow,,Catastrophe in Bhava-agra ~ Wonderful Heaven,Rainbow after snow,Rainbow after snow,,Catastrophe in Bhava-agra ~ Wonderful Heaven,,Catastrophe in Bhava-agra ~ Wonderful Heaven,Rainbow after snow,Rainbow after snow,Catastrophe in Bhava-agra ~ Wonderful Heaven,,Rainbow after snow,,Rainbow after snow,,,Rainbow after snow,Rainbow after snow,Catastrophe in Bhava-agra ~ Wonderful Heaven,Catastrophe in Bhava-agra ~ Wonderful Heaven,Catastrophe in Bhava-agra ~ Wonderful Heaven,,,,Rainbow after snow,Catastrophe in Bhava-agra ~ Wonderful Heaven,Rainbow after snow,,Rainbow after snow,,,Rainbow after snow,Rainbow after snow,Rainbow after snow,Catastrophe in Bhava-agra ~ Wonderful Heaven,Catastrophe in Bhava-agra ~ Wonderful Heaven,Catastrophe in Bhava-agra ~ Wonderful Heaven,Rainbow after snow,,,Rainbow after snow,Catastrophe in Bhava-agra ~ Wonderful Heaven,Rainbow after snow,Rainbow after snow,Catastrophe in Bhava-agra ~ Wonderful Heaven,Rainbow after snow,,Rainbow after snow,,Rainbow after snow
70,Training Course,Narcolepsist,37,22,59,15,Training Course,,,,Training Course,,Narcolepsist,Narcolepsist,,Training Course,,,,Training Course,,Training Course,Training Course,Narcolepsist,Narcolepsist,Training Course,Training Course,Narcolepsist,Training Course,Narcolepsist,Training Course,Training Course,Training Course,,Training Course,,,Narcolepsist,Training Course,Narcolepsist,Training Course,,Narcolepsist,Narcolepsist,Narcolepsist,Training Course,,Training Course,Training Course,Training Course,,Training Course,,Narcolepsist,Narcolepsist,Narcolepsist,Training Course,,Training Course,,Narcolepsist,,,Training Course,Narcolepsist,Narcolepsist,Training Course,Training Course,,,,Training Course,Training Course,Training Course,,Narcolepsist,,,Narcolepsist,Narcolepsist,Training Course,Narcolepsist,Training Course,Training Course,Training Course,,,Narcolepsist,Training Course,Narcolepsist,Training Course,Training Course,Training Course,,Training Course,,Training Course
71,Mirror of the World,noisemaker,20,38,58,18,noisemaker,,,,noisemaker,,noisemaker,noisemaker,,noisemaker,,,,Mirror of the World,,noisemaker,noisemaker,noisemaker,Mirror of the World,noisemaker,Mirror of the World,Mirror of the World,Mirror of the World,Mirror of the World,noisemaker,Mirror of the World,noisemaker,,noisemaker,,,,Mirror of the World,noisemaker,Mirror of the World,,noisemaker,noisemaker,Mirror of the World,noisemaker,,noisemaker,noisemaker,noisemaker,,noisemaker,,noisemaker,noisemaker,Mirror of the World,noisemaker,,noisemaker,,noisemaker,,,noisemaker,Mirror of the World,noisemaker,noisemaker,noisemaker,,,,Mirror of the World,Mirror of the World,noisemaker,,Mirror of the World,,,noisemaker,Mirror of the World,Mirror of the World,noisemaker,Mirror of the World,noisemaker,noisemaker,,,noisemaker,noisemaker,noisemaker,noisemaker,Mirror of the World,noisemaker,,Mirror of the World,,noisemaker
72,Portugal,Until,40,22,62,18,Portugal,,,,Portugal,Until,Until,Until,,Portugal,,,,Portugal,,Until,,Until,Until,Until,Portugal,Until,Until,Until,Until,Portugal,Portugal,,Until,,,,,Until,Portugal,Portugal,Portugal,,Until,Portugal,,Portugal,Portugal,Portugal,,Portugal,,Portugal,Until,Portugal,Until,Portugal,Portugal,Portugal,Portugal,,,Portugal,Until,Portugal,Portugal,Portugal,,Portugal,,Until,Portugal,Portugal,Portugal,Until,,,Portugal,Until,Portugal,,Portugal,Portugal,Portugal,Portugal,,Portugal,Portugal,Until,Portugal,Portugal,Portugal,Portugal,Until,,
